id,item1,chance1,item2,chance2,item3,chance3,item4,chance4,item5,chance5,item6,chance6,item7,chance7,item8,chance8,item9,chance9,item10,chance10,desc
0,0;1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,test
1,5;1000,1000,5;1001,1000,5;1002,1000,5;1003,1000,5;1004,1000,5;1005,1000,5;1006,1000,5;1007,1000,5;1008,1000,5;1009,1000,民居附近的假人
2,5;2001,1000,5;2003,1000,5;2004,1000,5;2005,1000,5;2006,1000,5;2008,1000,5;2009,1000,5;2011,1000,5;2013,1000,5;2018,1000,民居附近的爬尸
3,5;3001,1000,5;3003,1000,5;3004,1000,5;3005,1000,5;3006,1000,5;3008,1000,5;3009,1000,5;3011,1000,5;3018,1000,5;3019,1000,民居附近的行尸
4,5;4000,1000,5;4002,1000,5;4003,1000,5;4004,1000,5;4005,1000,5;4006,1000,5;4010,1000,5;4016,1000,5;4017,1000,5;4022,1000,民居附近的叫尸
5,5;5000,1000,5;5001,1000,5;5008,1000,5;5009,1000,5;5011,1000,5;5012,1000,5;5013,1000,5;5014,1000,5;5018,1000,5;5025,1000,民居附近的狂尸
6,5;6000,1000,5;6001,1000,5;6008,1000,5;6009,1000,5;6011,1000,5;6012,1000,5;6013,1000,5;6014,1000,5;6018,1000,5;6025,1000,民居附近的军尸
7,5;7000,1000,5;7001,1000,5;7002,1000,5;7003,1000,5;7004,1000,5;7005,1000,5;7006,1000,5;7007,1000,5;7008,1000,5;7009,1000,民居附近的吐尸
8,5;1000,1000,5;1001,1000,5;1002,1000,5;1003,1000,5;1004,1000,5;1005,1000,5;1006,1000,5;1007,1000,5;1008,1000,5;1009,1000,街上的假人
9,5;2001,1000,5;2005,1000,5;2006,1000,5;2007,1000,5;2011,1000,5;2012,1000,5;2018,1000,5;2019,1000,5;2020,1000,5;2021,1000,街上的爬尸
10,5;3001,1000,5;3005,1000,5;3006,1000,5;3007,1000,5;3011,1000,5;3012,1000,5;3018,1000,5;3019,1000,5;3020,1000,5;3021,1000,街上的行尸
11,5;4000,1000,5;4002,1000,5;4003,1000,5;4004,1000,5;4005,1000,5;4006,1000,5;4010,1000,5;4016,1000,5;4017,1000,5;4022,1000,街上的叫尸
12,5;5000,1000,5;5001,1000,5;5008,1000,5;5009,1000,5;5011,1000,5;5012,1000,5;5013,1000,5;5014,1000,5;5018,1000,5;5025,1000,街上的狂尸
13,5;6000,1000,5;6001,1000,5;6008,1000,5;6009,1000,5;6011,1000,5;6012,1000,5;6013,1000,5;6014,1000,5;6018,1000,5;6025,1000,街上的巨尸
14,5;7000,1000,5;7001,1000,5;7002,1000,5;7003,1000,5;7004,1000,5;7005,1000,5;7006,1000,5;7007,1000,5;7008,1000,5;7009,1000,街上的吐尸
15,5;1000,1000,5;1001,1000,5;1002,1000,5;1003,1000,5;1004,1000,5;1005,1000,5;1006,1000,5;1007,1000,5;1008,1000,5;1009,1000,快餐店的假人
16,5;2001,1000,5;2003,1000,5;2004,1000,5;2005,1000,5;2006,1000,5;2009,1000,5;2010,1000,5;2011,1000,5;2013,1000,5;2018,1000,快餐店的爬尸
17,5;3001,1000,5;3003,1000,5;3004,1000,5;3005,1000,5;3006,1000,5;3009,1000,5;3010,1000,5;3011,1000,5;3018,1000,5;3019,1000,快餐店的行尸
18,5;4002,1000,5;4003,1000,5;4006,1000,5;4010,1000,5;4016,1000,5;4017,1000,5;4018,1000,5;4023,1000,5;4024,1000,5;4025,1000,快餐店的叫尸
19,5;5000,1000,5;5001,1000,5;5008,1000,5;5009,1000,5;5011,1000,5;5012,1000,5;5013,1000,5;5014,1000,5;5018,1000,5;5025,1000,快餐店的狂尸
20,5;6000,1000,5;6001,1000,5;6008,1000,5;6009,1000,5;6011,1000,5;6012,1000,5;6013,1000,5;6014,1000,5;6018,1000,5;6025,1000,快餐店的巨尸
21,5;1000,1000,5;1001,1000,5;1002,1000,5;1003,1000,5;1004,1000,5;1005,1000,5;1006,1000,5;1007,1000,5;1008,1000,5;1009,1000,其他店的假人
22,5;2001,1000,5;2003,1000,5;2004,1000,5;2005,1000,5;2006,1000,5;2009,1000,5;2010,1000,5;2011,1000,5;2013,1000,5;2018,1000,其他店的爬尸
23,5;3001,1000,5;3003,1000,5;3004,1000,5;3005,1000,5;3006,1000,5;3009,1000,5;3010,1000,5;3011,1000,5;3018,1000,5;3019,1000,其他店的行尸
24,5;4000,1000,5;4002,1000,5;4003,1000,5;4004,1000,5;4005,1000,5;4006,1000,5;4010,1000,5;4016,1000,5;4017,1000,5;4022,1000,其他店的叫尸
25,5;5000,1000,5;5001,1000,5;5008,1000,5;5009,1000,5;5011,1000,5;5012,1000,5;5013,1000,5;5014,1000,5;5018,1000,5;5025,1000,其他店的狂尸
26,5;6000,1000,5;6001,1000,5;6008,1000,5;6009,1000,5;6011,1000,5;6012,1000,5;6013,1000,5;6014,1000,5;6018,1000,5;6025,1000,其他店的巨尸
27,5;1000,1000,5;1001,1000,5;1002,1000,5;1003,1000,5;1004,1000,5;1005,1000,5;1006,1000,5;1007,1000,5;1008,1000,5;1009,1000,邮局的假人
28,5;2001,1000,5;2003,1000,5;2004,1000,5;2005,1000,5;2006,1000,5;2009,1000,5;2010,1000,5;2011,1000,5;2013,1000,5;2018,1000,邮局的爬尸
29,5;3001,1000,5;3003,1000,5;3004,1000,5;3005,1000,5;3006,1000,5;3009,1000,5;3010,1000,5;3011,1000,5;3018,1000,5;3019,1000,邮局的行尸
30,5;4000,1000,5;4002,1000,5;4003,1000,5;4004,1000,5;4005,1000,5;4006,1000,5;4010,1000,5;4016,1000,5;4017,1000,5;4022,1000,邮局的叫尸
31,5;5000,1000,5;5001,1000,5;5008,1000,5;5009,1000,5;5011,1000,5;5012,1000,5;5013,1000,5;5014,1000,5;5018,1000,5;5025,1000,邮局的狂尸
32,5;6000,1000,5;6001,1000,5;6008,1000,5;6009,1000,5;6011,1000,5;6012,1000,5;6013,1000,5;6014,1000,5;6018,1000,5;6025,1000,邮局的巨尸
33,5;1000,1000,5;1001,1000,5;1002,1000,5;1003,1000,5;1004,1000,5;1005,1000,5;1006,1000,5;1007,1000,5;1008,1000,5;1009,1000,警局的假人
34,5;2001,1000,5;2003,1000,5;2004,1000,5;2005,1000,5;2006,1000,5;2009,1000,5;2010,1000,5;2011,1000,5;2013,1000,5;2018,1000,警局的爬尸
35,5;3001,1000,5;3003,1000,5;3004,1000,5;3005,1000,5;3006,1000,5;3009,1000,5;3010,1000,5;3011,1000,5;3018,1000,5;3019,1000,警局的行尸
36,5;4000,1000,5;4002,1000,5;4003,1000,5;4004,1000,5;4005,1000,5;4006,1000,5;4010,1000,5;4016,1000,5;4017,1000,5;4022,1000,警局的叫尸
37,5;5014,1000,5;5019,1000,5;5020,1000,5;5021,1000,5;5022,1000,5;5023,1000,5;5024,1000,5;5025,1000,5;5026,1000,5;5027,1000,警局的狂尸
38,5;6014,1000,5;6019,1000,5;6020,1000,5;6021,1000,5;6022,1000,5;6023,1000,5;6024,1000,5;6025,1000,5;6026,1000,5;6027,1000,警局的巨尸
39,5;1000,1000,5;1002,1000,5;1003,1000,5;1004,1000,5;1005,1000,5;1006,1000,5;1008,1000,5;1009,1000,5;1012,1000,5;1013,1000,机场的假人
40,5;2001,1000,5;2003,1000,5;2004,1000,5;2005,1000,5;2006,1000,5;2009,1000,5;2010,1000,5;2011,1000,5;2018,1000,5;2019,1000,机场的爬尸
41,5;3032,1000,5;3033,1000,5;3034,1000,5;3038,1000,5;3039,1000,5;3040,1000,5;3041,1000,5;3042,1000,5;3043,1000,5;3044,1000,机场的行尸
42,5;4006,1000,5;4010,1000,5;4014,1000,5;4015,1000,5;4018,1000,5;4019,1000,5;4021,1000,5;4022,1000,5;4026,1000,5;4027,1000,机场的叫尸
43,5;5011,1000,5;5012,1000,5;5013,1000,5;5014,1000,5;5018,1000,5;5033,1000,5;5034,1000,5;5035,1000,5;5036,1000,5;5037,1000,机场的狂尸
44,5;6011,1000,5;6012,1000,5;6013,1000,5;6014,1000,5;6018,1000,5;6033,1000,5;6034,1000,5;6035,1000,5;6036,1000,5;6037,1000,机场的巨尸
45,5;1009,3400,5;1010,3400,5;1011,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,农场的假人
46,5;2002,1500,5;2003,1500,5;2015,1500,5;2016,1500,5;2017,1500,5;2018,1500,5;2019,1000,0,0,0,0,0,0,农场的爬尸
47,5;3002,1500,5;3003,1500,5;3015,1500,5;3016,1500,5;3017,1500,5;3018,1500,5;3019,1000,0,0,0,0,0,0,农场的行尸
48,5;4001,2500,5;4002,2500,5;4009,2500,5;4010,2500,0,0,0,0,0,0,0,0,0,0,0,0,农场的叫尸
49,5;5011,2000,5;5012,2000,5;5013,2000,5;5014,2000,5;5018,2000,0,0,0,0,0,0,0,0,0,0,农场的狂尸
50,5;6011,2000,5;6012,2000,5;6013,2000,5;6014,2000,5;6018,2000,0,0,0,0,0,0,0,0,0,0,农场的巨尸
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,港口的假人
52,5;2007,1200,5;2020,1100,5;2021,1100,5;2022,1100,5;2023,1100,5;2024,1100,5;2025,1100,5;2026,1100,5;2027,1100,0,0,港口的爬尸
53,5;3007,1000,5;3020,1000,5;3021,1000,5;3022,1000,5;3023,1000,5;3024,1000,5;3025,1000,5;3026,1000,5;3028,1000,5;3029,1000,港口的行尸
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,港口的叫尸
55,5;5011,1000,5;5012,1000,5;5013,1000,5;5014,1000,5;5018,1000,5;5033,1000,5;5034,1000,5;5035,1000,5;5036,1000,5;5037,1000,港口的狂尸
56,5;6011,1000,5;6012,1000,5;6013,1000,5;6014,1000,5;6018,1000,5;6033,1000,5;6034,1000,5;6035,1000,5;6036,1000,5;6037,1000,港口的巨尸
57,5;1000,1000,5;1001,1000,5;1002,1000,5;1003,1000,5;1004,1000,5;1005,1000,5;1006,1000,5;1007,1000,5;1008,1000,5;1009,1000,营地的假人
58,5;2001,1000,5;2003,1000,5;2004,1000,5;2005,1000,5;2006,1000,5;2008,1000,5;2009,1000,5;2011,1000,5;2013,1000,5;2018,1000,营地的爬尸
59,5;3001,1000,5;3003,1000,5;3004,1000,5;3005,1000,5;3006,1000,5;3008,1000,5;3009,1000,5;3011,1000,5;3018,1000,5;3019,1000,营地的行尸
